3007 (ling2,yuan2,xing1)
3400 (qiu1)
3401 (tian4)
3404 (kua4)
3405 (wu3)
3406 (yin3)
340C (yi2)
3416 (xie2)
341C (chou2)
3421 (nuo4)
3424 (dan1,qiu2)
3428 (xu4)
3429 (xing2)
342B (xiong1)
342C (liu2)
342D (lin3)
342E (xiang1)
342F (yong1)
3430 (xin4)
3431 (zhen3)
3432 (dai4)
3433 (wu4)
3434 (pan1)
3435 (ru2)
3437 (ma3)
3438 (qian4,ci4)
3439 (yi4)
343A (yin2,zhong4)
343B (nei4)
343C (cheng4)
343D (feng1)
3441 (zhuo1)
3442 (fang3)
3443 (ao3)
3444 (wu3)
3445 (zuo4)
3447 (zhou4)
3448 (dong4)
3449 (su4)
344A (yi4)
344B (qiong2)
344C (kuang1,wang1)
344D (lei4)
344E (nao3)
344F (zhu4)
3450 (shu1)
3454 (xu3)
3457 (shen1)
3458 (jie4)
3459 (die2)
345A (nuo2)
345B (su4)
345C (yi4,chi4)
345D (long4)
345E (ying4)
345F (beng3)
3463 (lan2)
3464 (miao2)
3465 (yi4)
3466 (li4)
3467 (ji4)
3468 (yu3)
3469 (luo2)
346A (chai2)
346E (hun2)
346F (xu3)
3470 (hui4)
3471 (rao3)
3473 (zhou4,zhu1)
3475 (han4)
3476 (xi4)
3477 (tai4)
3478 (yao2)
3479 (hui4)
347A (jun4)
347B (ma4)
347C (lue4)
347D (tang2)
347E (yao2)
347F (zhao4)
3480 (zhai1,zha3)
3481 (yu3)
3482 (zhuo2)
3483 (er4)
3484 (ran3)
3485 (qi3)
3486 (chi4)
3487 (wu3)
3488 (han4)
3489 (tang3)
348A (se4)
348C (qiong2)
348D (lei2)
348E (sa4)
3491 (kui3,hui4)
3492 (pu2)
3493 (ta4)
3494 (shu2,du2,tu4)
3495 (yang1)
3496 (ou3)
3497 (tai2)
3499 (mian2)
349A (yin4,wen3)
349B (diao4)
349C (yu3)
349D (mie4,wa4)
349E (jun4)
349F (niao3)
34A0 (xie4)
34A1 (you2)
34A4 (che4)
34A5 (feng1)
34A6 (lei3,lei4)
34A7 (li4)
34A9 (luo3)
34AB (ji4)
34B0 (quan2)
34B2 (cai2)
34B3 (liang3)
34B4 (gu3)
34B5 (mao4)
34B7 (gua3)
34B8 (sui4)
34BB (mao4)
34BC (man2)
34BD (quan1)
34BE (shi4)
34BF (li2)
34C1 (wang3)
34C2 (kou4)
34C3 (du4)
34C4 (zhen4)
34C5 (ting1)
34C8 (bing4)
34C9 (huo4)
34CA (dong4)
34CB (gong4)
34CC (cheng1)
34CE (qin1,qin4,qin3)
34CF (jiong3)
34D0 (lu4)
34D1 (xing4)
34D3 (nan2)
34D4 (xie4)
34D6 (bi4)
34D7 (jie2)
34D8 (su4)
34DA (gong1)
34DC (you4)
34DD (xing2)
34DE (qia4)
34DF (pi2)
34E0 (dian4,dian3)
34E1 (fu3,gua1)
34E2 (luo4)
34E3 (qia4,ge1)
34E4 (qia4)
34E5 (tang1)
34E6 (bai1)
34E7 (gan1)
34E8 (ci2)
34E9 (xuan1,jie1)
34EA (lang3)
34ED (she2)
34EF (li2)
34F0 (hua4)
34F1 (tou2,shu1)
34F2 (pian1)
34F3 (di1)
34F4 (ruan3)
34F5 (e4)
34F6 (qie4)
34F7 (yi4)
34F8 (zhuo1,dou1)
34F9 (rui4,cui4,ji4)
34FA (jian1,qian2)
34FC (chi4)
34FD (chong2)
34FE (xi1,chi2)
3500 (lue4)
3501 (deng1)
3502 (lin2)
3503 (jue2,xue1)
3504 (su4)
3505 (xiao4)
3506 (zan4)
3509 (zhu3)
350A (zhan3,dan3)
350B (jian1,lan2)
350C (zou4,cou3)
350D (chua1,zha2)
350E (xie4)
350F (li4,luo3)
3511 (chi4)
3512 (xi2)
3513 (jian3)
3515 (ji2)
3517 (fei4,bei4,fu2)
3518 (chu4)
3519 (beng1)
351A (jie2)
351C (ba2)
351D (liang3,liang2)
351E (kuai4)
3520 (xia1,he2)
3521 (bie1)
3522 (jue2,xue1)
3523 (lei2)
3524 (xin4)
3525 (bai4,pi2)
3526 (yang3)
3527 (lu4)
3528 (bei4)
3529 (e4)
352A (lu3)
352D (che4)
352E (nuo2)
352F (xuan2,suan3)
3530 (heng2)
3531 (yu3)
3533 (gui3)
3534 (yi4)
3535 (xuan3)
3536 (gong4,gan3)
3537 (lou4)
3538 (ti1)
3539 (le4)
353A (shi4)
353C (sun3)
353D (yao4)
353E (xian1,jie2)
353F (zou4)
3541 (que4)
3542 (yin2,qin2)
3543 (xi1)
3544 (zhi3)
3545 (jia2)
3546 (hu4)
3547 (la1)
3548 (yi3)
3549 (ke4)
354A (fu1)
354B (qin2)
354C (ai4)
354E (ke4)
354F (chu2)
3550 (xie3,xie4)
3551 (chu2)
3552 (wei1)
3555 (huan4)
3556 (su4)
3557 (you4)
3559 (jun4)
355A (zhao3)
355B (xu4)
355C (shi3)
355E (shua1)
355F (kui4,kuai4)
3560 (shuang1)
3561 (he2)
3562 (gai4,hai4)
3563 (yan3)
3564 (qiu2)
3565 (shen1)
3566 (hua4)
3567 (xi1)
3568 (fan4)
3569 (pang4)
356A (dan3)
356B (fang3,feng1)
356C (gong1,song4)
356D (ao1,ao4)
356E (fu3)
356F (ne4)
3570 (xue4,ma5)
3571 (you2)
3572 (hua2,ying2)
3574 (chen2)
3575 (guo2)
3576 (ň,ňg)
3577 (hua4,pa1)
3578 (li4)
3579 (fa2)
357A (xiao1)
357B (pou3)
357D (si4)
3580 (le4)
3581 (lin4)
3582 (yi4)
3583 (hou3,hou4)
3585 (xu4)
3586 (qu2)
3587 (er2)
358A (xun2)
358F (nie4)
3590 (wei3)
3591 (xie4)
3592 (ti2)
3593 (hong2)
3594 (tun3)
3595 (nie4,xin1)
3596 (nie4)
3597 (yin2)
3598 (zhen1)
359E (wai1)
359F (shou4)
35A0 (nuo4)
35A1 (ye4)
35A2 (qi2)
35A3 (tou4)
35A4 (han2)
35A5 (jun4)
35A6 (dong3)
35A7 (hun1,wen3)
35A8 (lu4)
35A9 (ju1,sou3)
35AA (huo4,guo2,xu4)
35AB (ling2)
35AD (tian3)
35AE (lun2)
35B5 (ge2)
35B6 (yan1,ye4,yin1)
35B7 (shi2,ti2)
35B8 (xue2,nia1)
35B9 (pen1,fen4)
35BA (chun3)
35BB (niu2,rou4)
35BC (duo3)
35BD (ze2)
35BE (e4)
35BF (xie2,ye2)
35C0 (you1)
35C1 (e4)
35C2 (sheng3)
35C3 (wen3,hun1)
35C4 (ku1)
35C5 (hu2)
35C6 (ge2)
35C7 (xia2,ya5)
35C8 (man4)
